cfg.experiment,cfg.size,cfg.start,cfg.goal,cfg.distractor,cfg.r_int,cfg.distractor_idx,cfg.beta,cfg.lr,cfg.delta_c,cfg.delta_phi,cfg.tau,cfg.gamma,cfg.horizon,cfg.J_opt,cfg.d_grid,cfg.seeds,cfg.n_iters,J_advisor,J_clean,J_deployed_mix,J_mix,d,occ_advisor,occ_clean,occ_deployed_mix,occ_mix,pct_clean,pct_deployed_mix,pct_mix,residual,seed
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.0016456397520684825,0.7158402360382583,0.49827334996943506,0.6807174296597873,12,0.23648241771787898,3.560298729490801e-07,0.01137840592185849,1.2044662086332549e-11,0.9836038939840317,0.6846550146591799,0.935343224378887,0.03512280637847098,4
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.012576654672805571,0.7180808138330615,0.47880229374172867,0.6816900471223316,12,0.10244819141129795,1.5558172740766696e-07,0.0020582959855310473,2.506817767409105e-10,0.9866825712262325,0.657900711448246,0.9366796543186315,0.03639076671072994,5
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.002399118957588016,0.7189283846259767,0.4730051760863579,0.6992796515748386,12,0.15155480596595064,8.521324427526157e-07,0.003056391604732111,2.7022876208214703e-06,0.9878471801576225,0.6499351526368781,0.9608487392095235,0.019648733051138123,6
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.012816346008412069,0.7184177780495609,0.5046530164795325,0.7070987942093743,12,0.1272379144413416,2.4949132373585165e-06,0.000984388068643942,4.298723704394462e-09,0.987145578610836,0.6934210276684235,0.9715926716622597,0.011318983840186592,7
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.008431554881031908,0.7162765750970446,0.4897453873687627,0.7092650813548783,16,0.18929137983604885,1.3469818259870878e-07,0.0028864287652983923,1.4601170671329418e-08,0.9842034478728922,0.6729371245497963,0.9745692694623469,0.007011493742166253,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.004237106213678011,0.7160433165093034,0.4856626968599624,0.6734989016162617,16,0.27671230205782643,1.150943665513338e-06,0.01382331595606267,8.208167001631545e-11,0.983882937731583,0.6673272830234072,0.9254245694402655,0.042544414893041727,1
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.3628731780823356e-06,0.717320537016386,0.4222650814693803,0.6416559292907908,16,0.1620137088200749,4.895382890524651e-06,0.019744954425087568,4.702001521313469e-08,0.9856379090240538,0.5802154692022212,0.8816705723910064,0.07566460772559513,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,3.413570391589985e-05,0.715322139640631,0.4351237407179586,0.7037513172763588,16,0.014392132028842868,6.531352960608346e-05,0.013778715303348064,6.197483114377823e-10,0.9828920010105581,0.5978839749267856,0.9669930540652407,0.011570822364272204,3
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,7.16020627989155e-05,0.7149169399190647,0.4767824375952602,0.6852363259424503,16,0.4144725304169107,2.4791224020259644e-08,0.013750157095109393,8.4673703716721e-10,0.9823352342853742,0.6551253179024048,0.9415524366533137,0.029680613976614367,4
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.00016458335939780887,0.7133047992748577,0.42272095555265543,0.7022415505108149,16,0.720088076301199,4.120422005447719e-09,0.013760412834451856,1.0426856907602842e-14,0.9801200642858952,0.5808418652902051,0.9649185514111077,0.011063248764042743,5
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.0005818538054689726,0.7177737242389642,0.46455523523016323,0.7116607559784677,16,0.3437526415955702,1.4846916289302018e-05,0.03291526627637084,2.926387923768302e-05,0.9862606132175185,0.638324468699794,0.977861058285957,0.006112968260496565,6
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,3.7377642227442406e-07,0.7208966244808692,0.392797902217828,0.6758974665405774,16,0.19421505507544418,3.1770256650285757e-05,0.031915123119483184,6.403929669427517e-08,0.9905516500771694,0.5397259426327714,0.9287203296961956,0.044999157940291856,7
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.0017465066526657995,0.7082877835476501,0.46282282650043916,0.5837663080131879,24,0.35303081783494356,1.605732417027073e-07,0.0038682872679099154,2.9286641251601407e-08,0.9732264084713361,0.6359440437296091,0.802127045716616,0.12452147553446224,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.00016438787846319175,0.713488730785746,0.42468879520689923,0.6742524069024257,24,0.5705704801655387,1.6538522496721925e-06,0.013861303800640575,1.8366168832165563e-09,0.9803727963079696,0.5835457853120282,0.9264599271867234,0.03923632388332032,1
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.9056561106255896e-06,0.7190690317000388,0.3951824801006825,0.6729064173373461,24,0.30023390075167483,1.4846874199786514e-06,0.04210050930490619,3.121362221044218e-07,0.9880404369805283,0.5430024839236951,0.9246104634225724,0.046162614362692644,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,4.257494224315874e-05,0.7138350499910178,0.46614679207009463,0.6648787945856371,24,0.7139365683933284,1.0484648077867101e-05,0.026984623429964355,1.5800502395569528e-07,0.9808486579621732,0.6405113554189834,0.913580067811234,0.04895625540538062,3
